Handle,ObjType,TextString,Layer,TextHeight
BDC0C4,MText,"750.99",T-ELEVATION-T,7.9999999999999964
BDC0C5,MText,"751.13",T-ELEVATION-T,7.9999999999999964
BDC0C6,MText,"750.04",T-ELEVATION-T,7.9999999999999964
BDC0C7,MText,"751.12",T-ELEVATION-T,7.9999999999999964
BDC0C8,MText,"751.36",T-ELEVATION-T,7.9999999999999964
BDC0C9,MText,"751.61",T-ELEVATION-T,7.9999999999999964
BDC0CA,MText,"751.78",T-ELEVATION-T,7.9999999999999964
BDC0CB,MText,"751.91",T-ELEVATION-T,7.9999999999999964
BDC0CC,MText,"751.72",T-ELEVATION-T,7.9999999999999964
BDC0CD,MText,"751.73",T-ELEVATION-T,7.9999999999999964
BDC0CE,MText,"751.64",T-ELEVATION-T,7.9999999999999964
BDC0CF,MText,"751.62",T-ELEVATION-T,7.9999999999999964
BDC0D0,MText,"751.68",T-ELEVATION-T,7.9999999999999964
BDC0D1,MText,"751.62",T-ELEVATION-T,7.9999999999999964
BDC0D2,MText,"751.58",T-ELEVATION-T,7.9999999999999964
BDC0D3,MText,"751.60",T-ELEVATION-T,7.9999999999999964
BDC0D4,MText,"751.47",T-ELEVATION-T,7.9999999999999964
BDC0D5,MText,"751.45",T-ELEVATION-T,7.9999999999999964
BDC0D6,MText,"751.39",T-ELEVATION-T,7.9999999999999964
BDC0D7,MText,"751.28",T-ELEVATION-T,7.9999999999999964
BDC0D8,MText,"751.23",T-ELEVATION-T,7.9999999999999964
BDC0D9,MText,"751.08",T-ELEVATION-T,7.9999999999999964
BDC0DA,MText,"750.43",T-ELEVATION-T,7.9999999999999964
BDC0DB,MText,"751.06",T-ELEVATION-T,7.9999999999999964
BDC0DC,MText,"751.41",T-ELEVATION-T,7.9999999999999964
BDC0DD,MText,"751.66",T-ELEVATION-T,7.9999999999999964
BDC0DE,MText,"751.77",T-ELEVATION-T,7.9999999999999964
BDC0DF,MText,"751.99",T-ELEVATION-T,7.9999999999999964
BDC0E0,MText,"751.90",T-ELEVATION-T,7.9999999999999964
BDC0E1,MText,"751.95",T-ELEVATION-T,7.9999999999999964
BDC0E2,MText,"751.92",T-ELEVATION-T,7.9999999999999964
BDC0E3,MText,"751.91",T-ELEVATION-T,7.9999999999999964
BDC0E4,MText,"751.93",T-ELEVATION-T,7.9999999999999964
BDC0E5,MText,"751.95",T-ELEVATION-T,7.9999999999999964
BDC0E6,MText,"751.94",T-ELEVATION-T,7.9999999999999964
BDC0E7,MText,"751.92",T-ELEVATION-T,7.9999999999999964
BDC0E8,MText,"751.85",T-ELEVATION-T,7.9999999999999964
BDC0E9,MText,"751.65",T-ELEVATION-T,7.9999999999999964
BDC0EA,MText,"751.58",T-ELEVATION-T,7.9999999999999964
BDC0EB,MText,"751.39",T-ELEVATION-T,7.9999999999999964
BDC0EC,MText,"751.41",T-ELEVATION-T,7.9999999999999964
BDC0ED,MText,"750.99",T-ELEVATION-T,7.9999999999999964
BDC0EE,MText,"750.41",T-ELEVATION-T,7.9999999999999964
BDC0EF,MText,"751.13",T-ELEVATION-T,7.9999999999999964
BDC0F0,MText,"751.56",T-ELEVATION-T,7.9999999999999964
BDC0F1,MText,"751.67",T-ELEVATION-T,7.9999999999999964
BDC0F2,MText,"752.05",T-ELEVATION-T,7.9999999999999964
BDC0F3,MText,"752.05",T-ELEVATION-T,7.9999999999999964
BDC0F4,MText,"752.01",T-ELEVATION-T,7.9999999999999964
BDC0F5,MText,"752.07",T-ELEVATION-T,7.9999999999999964
BDC0F6,MText,"752.10",T-ELEVATION-T,7.9999999999999964
BDC0F7,MText,"752.10",T-ELEVATION-T,7.9999999999999964
BDC0F8,MText,"752.10",T-ELEVATION-T,7.9999999999999964
BDC0F9,MText,"752.24",T-ELEVATION-T,7.9999999999999964
BDC0FA,MText,"752.19",T-ELEVATION-T,7.9999999999999964
BDC0FB,MText,"752.06",T-ELEVATION-T,7.9999999999999964
BDC0FC,MText,"751.94",T-ELEVATION-T,7.9999999999999964
BDC0FD,MText,"751.88",T-ELEVATION-T,7.9999999999999964
BDC0FE,MText,"751.62",T-ELEVATION-T,7.9999999999999964
BDC0FF,MText,"751.36",T-ELEVATION-T,7.9999999999999964
BDC100,MText,"751.21",T-ELEVATION-T,7.9999999999999964
BDC101,MText,"750.85",T-ELEVATION-T,7.9999999999999964
BDC102,MText,"753.40",T-ELEVATION-T,7.9999999999999964
BDC103,MText,"751.94",T-ELEVATION-T,7.9999999999999964
BDC104,MText,"751.82",T-ELEVATION-T,7.9999999999999964
BDC105,MText,"751.76",T-ELEVATION-T,7.9999999999999964
BDC106,MText,"752.01",T-ELEVATION-T,7.9999999999999964
BDC107,MText,"752.09",T-ELEVATION-T,7.9999999999999964
BDC108,MText,"752.03",T-ELEVATION-T,7.9999999999999964
BDC109,MText,"752.14",T-ELEVATION-T,7.9999999999999964
BDC10A,MText,"752.10",T-ELEVATION-T,7.9999999999999964
BDC10B,MText,"752.01",T-ELEVATION-T,7.9999999999999964
BDC10C,MText,"752.12",T-ELEVATION-T,7.9999999999999964
BDC10D,MText,"752.19",T-ELEVATION-T,7.9999999999999964
BDC10E,MText,"752.08",T-ELEVATION-T,7.9999999999999964
BDC10F,MText,"752.00",T-ELEVATION-T,7.9999999999999964
BDC110,MText,"751.93",T-ELEVATION-T,7.9999999999999964
BDC111,MText,"751.84",T-ELEVATION-T,7.9999999999999964
BDC112,MText,"751.67",T-ELEVATION-T,7.9999999999999964
BDC113,MText,"751.37",T-ELEVATION-T,7.9999999999999964
BDC114,MText,"751.17",T-ELEVATION-T,7.9999999999999964
BDC115,MText,"751.78",T-ELEVATION-T,7.9999999999999964
BDC116,MText,"753.50",T-ELEVATION-T,7.9999999999999964
BDC117,MText,"753.94",T-ELEVATION-T,7.9999999999999964
BDC118,MText,"751.93",T-ELEVATION-T,7.9999999999999964
BDC119,MText,"751.98",T-ELEVATION-T,7.9999999999999964
BDC11A,MText,"752.04",T-ELEVATION-T,7.9999999999999964
BDC11B,MText,"752.21",T-ELEVATION-T,7.9999999999999964
BDC11C,MText,"752.16",T-ELEVATION-T,7.9999999999999964
BDC11D,MText,"752.21",T-ELEVATION-T,7.9999999999999964
BDC11E,MText,"752.25",T-ELEVATION-T,7.9999999999999964
BDC11F,MText,"752.24",T-ELEVATION-T,7.9999999999999964
BDC120,MText,"752.21",T-ELEVATION-T,7.9999999999999964
BDC121,MText,"752.14",T-ELEVATION-T,7.9999999999999964
BDC122,MText,"751.96",T-ELEVATION-T,7.9999999999999964
BDC123,MText,"751.83",T-ELEVATION-T,7.9999999999999964
BDC124,MText,"751.84",T-ELEVATION-T,7.9999999999999964
BDC125,MText,"751.82",T-ELEVATION-T,7.9999999999999964
BDC126,MText,"751.54",T-ELEVATION-T,7.9999999999999964
BDC127,MText,"751.43",T-ELEVATION-T,7.9999999999999964
BDC128,MText,"751.16",T-ELEVATION-T,7.9999999999999964
BDC129,MText,"752.03",T-ELEVATION-T,7.9999999999999964
BDC12A,MText,"753.45",T-ELEVATION-T,7.9999999999999964
BDC12B,MText,"753.92",T-ELEVATION-T,7.9999999999999964
BDC12C,MText,"752.00",T-ELEVATION-T,7.9999999999999964
BDC12D,MText,"752.02",T-ELEVATION-T,7.9999999999999964
BDC12E,MText,"752.30",T-ELEVATION-T,7.9999999999999964
BDC12F,MText,"752.26",T-ELEVATION-T,7.9999999999999964
BDC130,MText,"752.10",T-ELEVATION-T,7.9999999999999964
BDC131,MText,"752.22",T-ELEVATION-T,7.9999999999999964
BDC132,MText,"752.24",T-ELEVATION-T,7.9999999999999964
BDC133,MText,"752.23",T-ELEVATION-T,7.9999999999999964
BDC134,MText,"752.16",T-ELEVATION-T,7.9999999999999964
BDC135,MText,"752.08",T-ELEVATION-T,7.9999999999999964
BDC136,MText,"751.89",T-ELEVATION-T,7.9999999999999964
BDC137,MText,"751.81",T-ELEVATION-T,7.9999999999999964
BDC138,MText,"751.77",T-ELEVATION-T,7.9999999999999964
BDC139,MText,"751.72",T-ELEVATION-T,7.9999999999999964
BDC13A,MText,"751.52",T-ELEVATION-T,7.9999999999999964
BDC13B,MText,"751.35",T-ELEVATION-T,7.9999999999999964
BDC13C,MText,"751.14",T-ELEVATION-T,7.9999999999999964
BDC13D,MText,"752.32",T-ELEVATION-T,7.9999999999999964
BDC13E,MText,"754.09",T-ELEVATION-T,7.9999999999999964
BDC13F,MText,"753.90",T-ELEVATION-T,7.9999999999999964
BDC140,MText,"752.61",T-ELEVATION-T,7.9999999999999964
BDC141,MText,"752.68",T-ELEVATION-T,7.9999999999999964
BDC142,MText,"753.00",T-ELEVATION-T,7.9999999999999964
BDC143,MText,"752.73",T-ELEVATION-T,7.9999999999999964
BDC144,MText,"752.80",T-ELEVATION-T,7.9999999999999964
BDC145,MText,"752.78",T-ELEVATION-T,7.9999999999999964
BDC146,MText,"753.04",T-ELEVATION-T,7.9999999999999964
BDC147,MText,"752.98",T-ELEVATION-T,7.9999999999999964
BDC148,MText,"752.99",T-ELEVATION-T,7.9999999999999964
BDC149,MText,"752.99",T-ELEVATION-T,7.9999999999999964
BDC14A,MText,"753.03",T-ELEVATION-T,7.9999999999999964
BDC14B,MText,"752.99",T-ELEVATION-T,7.9999999999999964
BDC14C,MText,"752.92",T-ELEVATION-T,7.9999999999999964
BDC14D,MText,"752.67",T-ELEVATION-T,7.9999999999999964
BDC14E,MText,"752.35",T-ELEVATION-T,7.9999999999999964
BDC14F,MText,"752.22",T-ELEVATION-T,7.9999999999999964
BDC150,MText,"752.15",T-ELEVATION-T,7.9999999999999964
BDC151,MText,"752.70",T-ELEVATION-T,7.9999999999999964
BDC152,MText,"753.62",T-ELEVATION-T,7.9999999999999964
BDC153,MText,"754.08",T-ELEVATION-T,7.9999999999999964
BDC154,MText,"752.81",T-ELEVATION-T,7.9999999999999964
BDC155,MText,"752.15",T-ELEVATION-T,7.9999999999999964
BDC156,MText,"752.17",T-ELEVATION-T,7.9999999999999964
BDC157,MText,"752.21",T-ELEVATION-T,7.9999999999999964
BDC158,MText,"752.33",T-ELEVATION-T,7.9999999999999964
BDC159,MText,"752.28",T-ELEVATION-T,7.9999999999999964
BDC15A,MText,"752.26",T-ELEVATION-T,7.9999999999999964
BDC15B,MText,"752.28",T-ELEVATION-T,7.9999999999999964
BDC15C,MText,"752.29",T-ELEVATION-T,7.9999999999999964
BDC15D,MText,"752.29",T-ELEVATION-T,7.9999999999999964
BDC15E,MText,"752.33",T-ELEVATION-T,7.9999999999999964
BDC15F,MText,"752.34",T-ELEVATION-T,7.9999999999999964
BDC160,MText,"752.21",T-ELEVATION-T,7.9999999999999964
BDC161,MText,"751.96",T-ELEVATION-T,7.9999999999999964
BDC162,MText,"751.82",T-ELEVATION-T,7.9999999999999964
BDC163,MText,"751.62",T-ELEVATION-T,7.9999999999999964
BDC164,MText,"751.60",T-ELEVATION-T,7.9999999999999964
BDC165,MText,"752.18",T-ELEVATION-T,7.9999999999999964
BDC166,MText,"752.39",T-ELEVATION-T,7.9999999999999964
BDC167,MText,"754.24",T-ELEVATION-T,7.9999999999999964
BDC168,MText,"752.83",T-ELEVATION-T,7.9999999999999964
BDC169,MText,"752.17",T-ELEVATION-T,7.9999999999999964
BDC16A,MText,"752.29",T-ELEVATION-T,7.9999999999999964
BDC16B,MText,"752.41",T-ELEVATION-T,7.9999999999999964
BDC16C,MText,"752.37",T-ELEVATION-T,7.9999999999999964
BDC16D,MText,"752.40",T-ELEVATION-T,7.9999999999999964
BDC16E,MText,"752.41",T-ELEVATION-T,7.9999999999999964
BDC16F,MText,"752.47",T-ELEVATION-T,7.9999999999999964
BDC170,MText,"752.50",T-ELEVATION-T,7.9999999999999964
BDC171,MText,"752.53",T-ELEVATION-T,7.9999999999999964
BDC172,MText,"752.55",T-ELEVATION-T,7.9999999999999964
BDC173,MText,"752.55",T-ELEVATION-T,7.9999999999999964
BDC174,MText,"752.42",T-ELEVATION-T,7.9999999999999964
BDC175,MText,"752.13",T-ELEVATION-T,7.9999999999999964
BDC176,MText,"751.84",T-ELEVATION-T,7.9999999999999964
BDC177,MText,"751.76",T-ELEVATION-T,7.9999999999999964
BDC178,MText,"751.63",T-ELEVATION-T,7.9999999999999964
BDC179,MText,"752.27",T-ELEVATION-T,7.9999999999999964
BDC17A,MText,"751.18",T-ELEVATION-T,7.9999999999999964
BDC17B,MText,"754.46",T-ELEVATION-T,7.9999999999999964
BDC17C,MText,"753.06",T-ELEVATION-T,7.9999999999999964
BDC17D,MText,"752.25",T-ELEVATION-T,7.9999999999999964
BDC17E,MText,"752.35",T-ELEVATION-T,7.9999999999999964
BDC17F,MText,"752.37",T-ELEVATION-T,7.9999999999999964
BDC180,MText,"752.51",T-ELEVATION-T,7.9999999999999964
BDC181,MText,"752.49",T-ELEVATION-T,7.9999999999999964
BDC182,MText,"752.51",T-ELEVATION-T,7.9999999999999964
BDC183,MText,"752.54",T-ELEVATION-T,7.9999999999999964
